focus_type,Odur,Vdur,Cdur,Rdur,Sylldur,Wdur,O1Hexc,Fallexc,Nucleusfallexc,H_N2exc,pd,Pd_rime,Falldur,Risedur,Hf0_Ef0,L1_Hexc,O1f0_Ef0,L1f0_Ef0,L2f0_Ef0,Risesp,Fallsp
bro,-0.087988837,0.008468547,-0.17244165,-0.067720554,-0.075294014,691,0.004426525,-0.032577882,-0.01595722,0.013803183,0.002275709,0.978609626,0.190289927,-0.080896911,0.36362674,-0.03920132,0.359200214,0.40282806,0.396204622,0.484583652,-0.171201295
bro,-0.264580027,0.141382198,-0.157955779,0.013756705,-0.116164405,631,-0.007635508,0.056041098,0.058592228,-0.074603089,0.068803533,0.520408163,-0.316860217,0.022318328,0.476956108,-0.018015268,0.484591615,0.494971375,0.420915009,-0.807196102,-0.176863789
bro,-0.273420063,-0.050507616,0.116563629,0.012490139,-0.079873236,529.666667,-0.05332648,-0.059645378,0.000171714,0.014244988,-0.051443926,0.527728088,-0.039239407,-0.275917265,-0.031077076,-0.032969389,0.022249404,0.001892313,0.028568302,0.119490129,1.520037705
bro,-0.119755002,-0.065095163,-0.145557597,-0.105255117,-0.111757016,612,0.00998564,-0.129514414,-0.089179776,-0.008827611,0.168029587,1.065088757,-0.373980502,0.333890724,-0.288385814,0.009556703,-0.298371454,-0.297942517,-0.1588714,0.028622247,0.34631328
bro,0.06081753,0.121034825,0.211117806,0.154340741,0.124956313,588,0.054717409,-0.071187002,0.027662582,0.070991843,-0.132847085,0.696517413,0.298420686,-0.161115333,-0.372481193,0.016686169,-0.427198602,-0.389167362,-0.301294191,-0.10356661,-0.238545803
bro,-0.055099501,0.008030618,-0.149380046,-0.055869602,-0.056046945,644,-0.135495282,0.008022726,0.00081689,0.040288079,-0.083704875,0.848314607,0.050473679,-0.34214395,0.004283237,-0.04412774,0.139778518,0.048410977,-0.003739489,0.128974193,0.158948697
bro,0.097982725,0.071038248,0.196299887,0.118900423,0.111560479,638,-0.054009292,0.161706766,0.1601463,0.240917494,0.07431205,0.599009901,-0.064267789,-0.086840107,0.20135681,-0.038669471,0.255366102,0.240026281,0.039650044,0.445295062,-2.516140194
bro,-0.003430476,0.263731578,-0.026015769,0.155454807,0.10173996,642,0.027288807,0.11940762,0.096719711,0.060094778,-0.097023902,0.634259259,0.097429653,-0.108269587,-0.043587569,-0.002941079,-0.070876376,-0.04064649,-0.162995189,0.027164404,1.225577805
bro,0.249347459,0.093917481,-0.065563584,0.030554927,0.114381867,679.5,-0.009645081,-0.045263722,0.042440107,0.04717427,-0.451964346,0.329192547,0.179648476,0.034831976,-0.221348887,-0.031647833,-0.211703806,-0.189701053,-0.176085165,-0.908585645,-0.251957171
bro,-0.570264932,-0.128667747,-0.149484594,-0.139803969,-0.299041664,600,-0.107190203,0.203636333,-0.027067457,0.022014149,0.00885012,1.052287582,0.383128665,0.239438418,-0.105977761,-0.010946871,0.001212443,-0.095030889,-0.309614093,-0.045718943,0.531508998
