"tone","language","session","id","isi","speaker","vowel_vari","informant","token","syllable","onset","offset","f0mean","excursion","maxloc"
21,"md","128_1",79,"long","ss","sv",128,2,"mii",-0.0327223215915197,-0.0803862464395457,-0.0722751054184905,0.104024664073445,0.25
241,"md","128_1",80,"long","ss","sv",128,2,"mii",0.0742210458113499,-0.0467030942447565,0.0326769532355453,0.21452101275758,0.375
241,"md","128_2",1,"long","ds","dv",128,1,"mii",0.149796258687204,-0.0987597213715745,0.0923104053819696,0.374152402460121,0.5
315,"md","128_2",2,"long","ds","dv",128,1,"mii",-0.0199881517813856,0.359220814123855,0.00983740480791091,0.495350675209162,1
45,"md","128_2",3,"long","ds","dv",128,1,"maa",-0.0480735481610967,0.00366708553015194,-0.0224731207061304,0.164789046677074,0.75
33,"md","128_2",4,"long","ds","dv",128,1,"maa",0.0414510584376717,-0.00869874551457546,-0.0184579485970193,0.147941080228085,0.125
21,"md","128_2",5,"long","ds","dv",128,1,"maa",-0.125313197932937,0.0139746752020859,-0.0589985008861036,0.151864607480269,1
21,"md","128_2",6,"long","ds","dv",128,1,"mii",0.024590120498524,0.000331616357105047,-0.0498357004796995,0.173396707080567,0.125
241,"md","128_2",7,"long","ds","dv",128,1,"maa",0.0656344689670144,0.00790780543256612,-0.000540614809300656,0.19465921752825,0.25
33,"md","128_2",8,"long","ds","dv",128,1,"mii",0.102558550132678,-0.0276659676049884,0.0533500894284507,0.201240821279134,0.25
45,"md","128_2",9,"long","ds","dv",128,1,"mii",0.00146720151134083,0.243770186961495,0.0938880637724267,0.246304500462636,1
315,"md","128_2",10,"long","ds","dv",128,1,"maa",-0.0468870902401693,0.159335061278315,-0.00774001471842549,0.253914423037041,1
21,"md","128_2",11,"long","ds","sv",128,1,"mii",-0.00569904619801043,-0.201843722067929,-0.0983334000590124,0.210156016343378,0.25
33,"md","128_2",12,"long","ds","sv",128,1,"mii",0.0238662533144183,-0.0566583494598635,0.00835495412823064,0.16278883629479,0.25
241,"md","128_2",13,"long","ds","sv",128,1,"mii",0.174616941300117,-0.608025225940917,0.010854810719999,0.886197058884169,0.375
315,"md","128_2",14,"long","ds","sv",128,1,"mii",-0.00557501793969271,0.21742297818039,0.0441239075832899,0.267978518544414,1
315,"md","128_2",15,"long","ds","sv",128,1,"mii",-0.000769717616415151,0.0455996337268605,-0.104522192586631,0.512145330196586,0.875
241,"md","128_2",16,"long","ds","sv",128,1,"mii",0.0555063559560567,-0.216832330619192,0.0454779618240524,0.391517796400122,0.5
45,"md","128_2",17,"long","ds","sv",128,1,"mii",0.00223832677681759,0.246974141745352,0.0951117828479265,0.249711160293905,1
33,"md","128_2",18,"long","ds","sv",128,1,"mii",0.0681747561441379,-0.0887297836901148,0.0227624138952448,0.238871490378076,0.5
21,"md","128_2",19,"long","ds","sv",128,1,"mii",0.00896666716614102,-0.0466603503504487,-0.0533139697361016,0.161143155232378,0.25
45,"md","128_2",20,"long","ds","sv",128,1,"mii",0.00571493999325963,0.347562864281409,0.13943205543347,0.34184792428815,1
315,"md","128_2",21,"long","ss","dv",128,2,"maa",-0.0324351591297723,0.0856322707654152,-0.0386022557422074,0.20404850826663,1
241,"md","128_2",22,"long","ss","dv",128,2,"mii",0.0852810247151242,-0.0282102323576055,0.0362837561170948,0.279999397933255,0.25
45,"md","128_2",23,"long","ss","dv",128,2,"mii",-0.00879262529453719,0.275279806330022,0.115571443835297,0.284072431624559,1
45,"md","128_2",24,"long","ss","dv",128,2,"maa",-0.00771221243653315,0.182219327845467,0.0607558121029149,0.210254704567567,0.875
21,"md","128_2",25,"long","ss","dv",128,2,"maa",0.027394492587005,0.0544951399297265,-0.0349104998384629,0.186017292719464,1
315,"md","128_2",26,"long","ss","dv",128,2,"mii",0.0200595913122808,0.402112677725034,0.0810709486598867,0.478134820159149,1
33,"md","128_2",27,"long","ss","dv",128,2,"mii",0.0418553359291844,-0.406500274445804,-0.0594930967857084,0.453584443193945,0.25
33,"md","128_2",28,"long","ss","dv",128,2,"maa",0.033333944424349,-0.17387231946599,-0.0597046982031362,0.208138108243615,0.125
21,"md","128_2",29,"long","ss","dv",128,2,"mii",0.00385981117720041,-0.421045847820018,-0.110520650309224,0.424905658997219,0.125
241,"md","128_2",30,"long","ss","dv",128,2,"maa",-0.00113729483904683,-0.00173044010632103,-0.0620525914859722,0.15921948862632,0.125
45,"md","128_2",31,"long","ss","dv",128,1,"mii",0.0109745781817363,0.270445842184312,0.136894096424146,0.319416366240014,0.875
241,"md","128_2",32,"long","ss","dv",128,1,"mii",0.0543137274941835,-0.0661394262161207,0.0331861523241611,0.241811617035974,0.375
33,"md","128_2",33,"long","ss","dv",128,1,"mii",0.0222724863039653,-0.00409182185969574,-0.0209902839955831,0.151274574583304,0.375
241,"md","128_2",34,"long","ss","dv",128,1,"maa",0.080591398859296,-0.0690376456557397,-0.0084728513211743,0.198020972214463,0.125
33,"md","128_2",35,"long","ss","dv",128,1,"maa",-0.00324290771498465,-0.0105989229120125,-0.0383286332135274,0.138073402623441,0.125
315,"md","128_2",36,"long","ss","dv",128,1,"mii",0.0409312376861413,0.28208133289373,0.0464234953167875,0.470153041520678,0.875
21,"md","128_2",37,"long","ss","dv",128,1,"mii",0.0215279827677465,-0.336178606829607,-0.0755968163423731,0.372004443859393,0.25
21,"md","128_2",38,"long","ss","dv",128,1,"maa",-0.00686436855651175,-0.481589982412727,-0.172093709952058,0.474725613856215,0.125
315,"md","128_2",39,"long","ss","dv",128,1,"maa",-0.0443930369560486,0.169508683565614,-0.0243714524130902,0.282846732028068,1
45,"md","128_2",40,"long","ss","dv",128,1,"maa",-0.0697533721941826,0.055685986216648,0.0243649398380195,0.283293468277975,0.875
45,"md","128_2",41,"long","ds","sv",128,1,"maa",-0.0522385678496449,0.178570789239492,0.0569455118252141,0.238312379285653,0.875
33,"md","128_2",42,"long","ds","sv",128,1,"maa",0.00172042382461341,-0.0277580044267281,-0.0586605095071699,0.161651320305593,0.125
315,"md","128_2",43,"long","ds","sv",128,1,"maa",-0.0521533857824178,0.190556857832013,-0.0216974922893492,0.347989800292484,1
241,"md","128_2",44,"long","ds","sv",128,1,"maa",0.093472018855275,0.0272917020442936,0.0506795626757751,0.203709160012829,0.25
