"language","tone","informant","token","syllable","duration","onset","offset","f0mean","excursion","maxloc"
"Thai","45","F2","3","mi",686.770833333327,0.0136729705051258,0.258610346417466,0.108216312353624,0.244937375912341,1
"Thai","45","F2","4","mi",677.291666666662,0.0458393150082808,0.188463809423234,0.0406898129103697,0.208002845100465,1
"Thai","45","F2","5","mi",501.958333333334,0.0369884826999201,0.166526493674229,0.0804267291450852,0.19541781315586,0.875
"Thai","21","F3","1","ma",793.499999999995,-0.0431880856114828,-0.211831101217197,-0.130499506950037,0.175112553276131,0.25
"Thai","21","F3","2","ma",772.333333333336,-0.00745572662201221,-0.185567318106217,-0.108123581121384,0.178111591484205,0.125
"Thai","21","F3","3","ma",803.333333333342,-0.0624055111617707,-0.205559491586631,-0.14364211264402,0.14315398042486,0.125
"Thai","21","F3","4","ma",750.645833333323,-0.0573840568850603,-0.174582443580549,-0.0979831090075035,0.14564575321373,0.25
"Thai","241","F3","1","ma",835.499999999996,0.0554310224346744,-0.160487164282171,0.0695003647870834,0.285471199580627,0.375
"Thai","241","F3","2","ma",867.95833333332,0.0635583883753825,-0.147290440989046,0.0840399085269922,0.292336877147406,0.625
"Thai","241","F3","3","ma",775.291666666675,0.0418162761290591,-0.0538547428040662,0.113015418702527,0.218491846409763,0.5
"Thai","241","F3","4","ma",839.541666666662,0.125669982616325,-0.0591372451465649,0.134168853569976,0.247148895108711,0.375
"Thai","315","F3","1","ma",821.854166666668,-0.0808642857108389,0.0411673337014986,-0.11609584697183,0.219604972198245,1
"Thai","315","F3","2","ma",896.833333333319,-0.0812386641642415,0.048358641050972,-0.120570108011297,0.234333563977106,1
"Thai","315","F3","3","ma",808.750000000003,-0.0419552817464308,0.108154879535845,-0.10979736483757,0.316923120108138,1
"Thai","315","F3","4","ma",801.666666666677,-0.0819308372563729,0.049021768413278,-0.122278138200231,0.245728973924031,1
"Thai","33","F3","1","ma",878.062499999999,-0.0156999426607442,-0.0983111530344483,0.00915744493108462,0.137787473498365,0.625
"Thai","33","F3","2","ma",824.666666666673,0.00493463224046746,-0.0808880545663107,0.0106754073814249,0.122792594811279,0.75
"Thai","33","F3","3","ma",832.666666666654,-0.00548416935338983,-0.121351397650512,-0.00843742988033043,0.145783254501558,0.375
"Thai","33","F3","4","ma",842.958333333343,0.0142896843192545,-0.0465024510314299,0.0234886966238655,0.0970749468709782,0.25
"Thai","45","F3","1","ma",767.395833333325,0.0358868680698043,0.255116790531513,0.100966005903696,0.219229922461709,1
"Thai","45","F3","2","ma",804.812499999997,0.0144863106046306,0.182070766944013,0.0584480817427725,0.169200608053168,1
"Thai","45","F3","3","ma",722.666666666669,0.0133801294729644,0.17802383622201,0.0323770438603008,0.18933335044118,1
"Thai","45","F3","4","ma",771.145833333321,0.0279426511799714,0.208513935174921,0.0867817033173562,0.18057128399495,1
"Thai","21","F3","1","mi",759.562499999987,-0.0161370013843007,-0.219824736540207,-0.111381411031215,0.222696350212974,0.25
"Thai","21","F3","2","mi",858.937499999996,-0.0500066188473158,-0.197865765948232,-0.117174005297078,0.167895766971855,0.25
"Thai","21","F3","3","mi",754.229166666676,-0.00252221256801471,-0.184512144800396,-0.0829093598725853,0.207687382614264,0.25
"Thai","21","F3","4","mi",719.875000000002,-0.00545010386615424,-0.151431245802913,-0.0630596742370526,0.162138234513196,0.25
"Thai","241","F3","1","mi",850.979166666662,0.0659012052411101,-0.21978009955327,0.0810182230917253,0.39893526547955,0.375
"Thai","241","F3","2","mi",857.124999999996,0.101268863588567,-0.131089074095165,0.140727644076691,0.342550504572979,0.75
"Thai","241","F3","3","mi",827.875000000006,0.0894663236186446,-0.0804145217172371,0.122789816783417,0.259065181177724,0.75
"Thai","241","F3","4","mi",846.374999999995,0.147113677963053,-0.00251555294045106,0.220133810175706,0.286342904913097,0.375
"Thai","315","F3","1","mi",798.729166666675,-0.0338771377655432,0.0353640665178057,-0.107825885548178,0.228455916947266,1
"Thai","315","F3","2","mi",747.083333333336,-0.0585234310265087,0.0344678678613413,-0.104412337569511,0.209565383808855,1
"Thai","315","F3","3","mi",812.187499999993,-0.0411622974023825,0.0978438512061532,-0.104461334942018,0.290107714201078,1
"Thai","315","F3","4","mi",747.791666666672,-0.0250385273586414,-0.00948515358725762,-0.117944783268615,0.183614572247844,1
"Thai","33","F3","1","mi",829.000000000008,0.0136182659158864,-0.137044801764155,0.0178148281118884,0.199389527070623,0.5
