Word,Pinyin,Tag,WF,HD,PF,CF,NC,NS,NWF,AoL,NM,REG,AoA,CON,FAM,IMG
演,yan3,v,46,60,1609,286,5,14,24,3,3,0,4.31,5.16,6.35,6.26
厌,yan4,v,3,76,664,76,2,6,12,4,2,0,4.13,4.38,6.09,5.23
砚,yan4,n,3,76,664,8,2,9,2,7,1,-1,5.72,6.17,5.1,6.18
宴,yan4,n,10,76,664,46,3,10,8,6,3,1,5.38,5.68,6.52,5.53
艳,yan4,a,3,76,664,56,3,10,14,2,2,0,4.38,4.54,6.38,5.71
验,yan4,v,3,76,664,245,6,10,17,4,2,0,4.64,3.92,6.2,4.93
堰,yan4,n,2,76,664,3,4,12,2,19,1,0,6.05,5.6,5.09,3.91
焰,yan4,n,1,76,664,35,3,12,7,12,1,0,4.37,6.05,6.03,6.29
雁,yan4,n,8,76,664,30,4,12,4,1,1,0,3.44,6.78,6.57,6.93
燕,yan4,n,1,76,664,111,5,16,6,2,3,0,3.03,6.66,6.23,6.89
秧,yang1,n,2,15,273,6,2,10,7,9,3,1,4.97,6.08,5.26,5.11
扬,yang2,v,38,41,905,216,2,6,39,4,3,0,4.1,4.23,6.16,5.32
羊,yang2,n,33,41,905,81,1,6,12,1,1,0,2.38,6.87,6.66,6.76
阳,yang2,n,3,41,905,371,2,6,29,2,3,-1,3.21,4.88,6.73,5.38
洋,yang2,a,24,41,905,193,2,9,66,2,4,1,3.86,3.22,5.29,4.64
仰,yang3,v,18,24,468,82,3,6,20,2,3,-1,4.28,5.59,5.65,5.75
养,yang3,v,135,24,468,258,3,9,43,3,4,0,3.61,4.97,6.5,5.79
氧,yang3,n,5,24,468,16,2,10,28,7,1,1,5.4,5.46,6.63,5.29
痒,yang3,a,3,24,468,17,2,11,6,2,1,1,4.15,5.53,6.03,6.64
漾,yang4,v,2,9,2634,10,3,14,2,5,2,0,5.22,4.22,4.33,4.59
吆,yao1,v,1,13,187,8,2,6,4,8,0,1,5.38,4.53,4.91,4.74
妖,yao1,n,1,13,187,38,3,7,11,13,3,1,4.5,4.48,6.55,5.44
腰,yao1,n,61,13,187,105,3,13,23,2,3,1,3.78,6,6.5,6.74
邀,yao1,v,9,13,187,69,4,16,7,5,3,0,5.28,4.92,6.39,4.94
肴,yao2,n,1,51,336,8,3,8,2,13,1,0,5.55,5.13,5.81,4.61
窑,yao2,n,8,51,336,14,3,11,7,5,3,0,5.3,6.19,5.69,5.45
摇,yao2,v,89,51,336,262,3,13,23,2,1,0,3.7,5.68,6.5,6.16
遥,yao2,a,6,51,336,57,3,13,9,2,1,0,4.48,4.69,6.47,5.81
咬,yao3,v,90,25,112,89,4,9,9,2,3,-1,3.1,6.23,6.72,6.85
舀,yao3,v,4,25,112,3,2,10,1,7,1,0,4.67,4.68,5.22,5.09
药,yao4,n,231,26,5465,253,4,9,52,5,3,-1,3.36,6.54,6.94,6.38
要,yao4,v,4474,26,5465,4208,2,9,58,1,4,0,2.84,3.88,6.63,5.65
耀,yao4,v,3,26,5465,57,6,20,9,3,2,-1,5.25,4.05,5.91,4.45
椰,ye1,n,3,6,4,4,3,12,3,7,1,1,5.63,6.28,5.03,6.11
噎,ye1,v,7,6,4,6,6,15,2,11,1,-1,5.41,5.08,5.13,4.65
爷,ye2,n,13,10,547,320,2,6,23,2,4,0,2.48,6.94,6.84,6.53
冶,ye3,a,1,8,4374,16,3,7,8,8,2,-1,5.38,3.43,3.19,2.87
野,ye3,a,21,8,4374,179,2,11,34,2,4,0,3.89,3.24,5.84,4.36
叶,ye4,n,19,58,2118,210,2,5,44,1,3,-1,3.03,6.82,6.81,6.16
夜,ye4,n,83,58,2118,400,3,8,66,3,1,0,3.21,5.95,6.94,6.52
掖,ye4,v,9,58,2118,4,4,11,3,19,3,1,5.62,4.77,4.69,3.97
液,ye4,n,8,58,2118,43,4,11,29,5,1,1,4.92,5.46,6.71,6.03
腋,ye4,n,3,58,2118,4,4,12,1,16,1,1,5.5,6.28,5.66,5.77
衣,yi1,n,48,39,19372,473,1,6,67,2,3,0,2.29,6.25,6.7,7
医,yi1,n,17,39,19372,351,3,7,27,2,3,-1,3.63,5.72,6.3,5.87
夷,yi2,n,3,77,555,21,1,6,3,15,3,0,5.67,3.49,4.16,3.96
宜,yi2,v,11,77,555,100,2,8,13,6,2,0,4.67,3.22,4.48,2.89
姨,yi2,n,24,77,555,48,2,9,7,2,2,1,3.33,6.28,6.93,6.12
贻,yi2,n,1,77,555,6,3,9,3,15,2,-1,6.18,3.92,3.91,2.68
移,yi2,v,25,77,555,151,3,11,16,3,2,-1,4.35,5.78,6.4,6.04
遗,yi2,v,3,77,555,143,4,12,33,6,4,-1,5.31,3.73,5.84,4.71
疑,yi2,v,1,77,555,271,6,14,21,3,2,0,4.43,4.31,6.19,4.55
蚁,yi3,n,4,36,4785,13,3,9,6,2,1,1,3.58,6.74,6.31,5.97
倚,yi3,v,13,36,4785,24,4,10,5,12,3,-1,5.57,5.41,5.42,5.54
椅,yi3,n,8,36,4785,86,4,12,15,2,2,-1,3.59,6.85,6.84,6.35
义,yi4,n,28,205,5969,653,2,3,45,5,3,0,4.05,2.35,5.78,3.91
忆,yi4,v,5,205,5969,99,2,4,6,7,2,1,4.31,4.4,6.55,5.09
艺,yi4,n,11,205,5969,260,2,4,18,5,1,1,3.87,3.08,6.28,4.38
议,yi4,v,7,205,5969,537,3,5,39,4,2,1,4.55,4.77,6.44,4.81
异,yi4,a,8,205,5969,242,2,6,38,5,4,1,4.46,3.53,6.06,5.44
抑,yi4,v,3,205,5969,46,3,7,12,14,2,-1,5.26,3.58,5.63,4.29
译,yi4,v,20,205,5969,58,3,7,10,6,1,1,5.33,4.95,6.53,4.97
易,yi4,a,28,205,5969,393,3,8,20,3,3,0,3.88,4.28,6.59,4.77
弈,yi4,v,1,205,5969,3,3,9,3,14,2,1,6.23,5.18,4.56,4.55
谊,yi4,n,1,205,5969,41,3,10,5,9,1,1,4.23,3.95,6.44,3.77
意,yi4,n,28,205,5969,1855,3,13,131,3,3,0,4.1,3,6.42,3.84
溢,yi4,v,13,205,5969,23,4,13,4,11,1,1,5.42,5.57,5.42,6.15
翼,yi4,n,8,205,5969,74,5,17,15,6,3,1,5.13,6.03,6.45,5.53
阴,yin1,a,7,48,1654,147,2,6,34,3,4,0,3.74,4.3,6.44,5.82
音,yin1,n,7,48,1654,506,2,9,51,3,2,0,3.18,5.36,6.63,5.45
吟,yin2,v,3,45,202,81,4,7,8,9,2,-1,5.23,5.71,5.32,5.89
淫,yin2,v,4,45,202,26,4,11,6,14,3,0,6.23,3.88,4.94,5.15
银,yin2,a,23,45,202,275,2,11,39,2,3,-1,3.97,6.16,5.81,5.76
引,yin3,v,83,26,441,365,2,4,40,3,4,0,3.97,3.46,6.3,4.38
饮,yin3,v,18,26,441,75,3,7,16,6,3,0,4.03,5.76,6.37,6.48
隐,yin3,v,6,26,441,161,4,11,19,4,1,-1,4.75,4.67,5.55,4.58
瘾,yin3,n,9,26,441,13,5,16,2,17,1,1,5.53,4.15,6.16,4.68
印,yin4,v,24,16,192,231,2,6,27,6,3,0,4.3,5.36,5.88,5.42
应,ying1,v,370,64,1204,986,3,7,51,2,4,0,3.95,3.21,5.66,3.55
英,ying1,n,11,64,1204,488,2,8,17,1,2,-1,3.67,2.93,5,3.52
婴,ying1,n,2,64,1204,29,3,11,5,10,2,-1,4.45,5.97,6.61,6.52
樱,ying1,n,1,64,1204,20,4,15,2,15,1,1,4.67,6.27,5.68,6.19
鹰,ying1,n,5,64,1204,52,6,18,10,2,1,0,4.08,6.87,6.77,6.52
迎,ying2,v,45,49,449,182,3,7,13,3,2,-1,4.33,4.62,5.94,5.46
盈,ying2,v,8,49,449,57,3,9,10,9,2,0,5.35,4.36,4.69,4.29
营,ying2,n,20,49,449,355,4,11,36,5,3,0,4.54,4.98,6.13,5.26
萦,ying2,v,1,49,449,7,3,11,3,20,1,0,6.4,3.32,4.72,3.42
蝇,ying2,n,2,49,449,11,3,14,5,2,1,0,3.8,6.87,6.32,6.23
赢,ying2,v,43,49,449,50,6,17,3,6,2,0,4.75,4.72,6.41,5.55
影,ying3,n,15,17,539,508,5,15,51,2,3,-1,3.87,5.97,6.87,6.24
映,ying4,v,7,8,332,106,2,9,16,4,1,-1,4.7,4.31,6.03,4.29
硬,ying4,a,74,8,332,134,2,12,30,5,3,-1,3.54,5.5,6.83,6.39
佣,yong1,n,2,33,107,23,3,7,3,9,2,1,4.78,5.54,5.42,5.39
拥,yong1,v,12,33,107,150,3,8,12,2,4,1,4.2,5.14,6,5.18
咏,yong3,v,3,31,452,17,2,8,2,8,2,1,4.49,4.8,5.68,5.06
泳,yong3,v,2,31,452,33,2,8,4,4,1,1,4.35,5.49,6.19,5.55
勇,yong3,a,11,31,452,129,4,9,17,2,1,1,3.78,4.22,6.13,5.89
涌,yong3,v,36,31,452,69,4,10,8,5,2,1,4.79,4.93,6.33,5.76
优,you1,a,29,19,343,274,3,6,22,3,2,1,3.88,4.31,6.75,4.97
忧,you1,v,18,19,343,96,3,7,16,8,2,1,4.42,4.27,5.68,5.68
幽,you1,a,3,19,343,80,3,9,19,8,4,0,5,3.77,5.88,4.81
邮,you2,n,1,43,1847,65,2,7,18,3,2,1,4.3,4.79,6.06,4.87
油,you2,n,87,43,1847,188,2,8,106,1,3,1,3.4,6.25,6.3,6.93
铀,you2,n,14,43,1847,2,2,10,1,19,1,1,6.85,4.94,4.45,4.29
游,you2,v,29,43,1847,296,4,12,53,1,4,0,4.08,5.21,6.7,6.4
友,you3,n,16,23,10293,475,2,4,24,1,2,0,3.05,5.82,6.87,6.27
有,you3,v,7130,23,10293,8701,2,6,133,1,4,0,2.53,3.95,6.87,4.16
右,you4,n,52,26,3091,228,2,5,12,2,2,0,2.64,6.03,6.63,5.89
幼,you4,a,7,26,3091,58,2,5,18,5,1,0,4.03,4.7,5.73,5.15
佑,you4,v,1,26,3091,23,3,7,1,11,1,1,5.14,3.03,4.8,3.89
诱,you4,v,1,26,3091,49,3,9,18,5,2,-1,5.15,3.92,5.88,4.42
釉,you4,n,2,26,3091,2,2,12,1,19,1,1,6.81,4.65,3.58,4.86
予,yu2,v,9,96,2732,119,1,4,8,13,2,0,4.97,3.85,5.34,4.15
鱼,yu2,n,118,96,2732,161,3,8,60,1,1,0,2.86,6.94,6.65,7
渔,yu2,n,4,96,2732,34,4,11,24,5,2,1,4.67,5.75,4.97,5.32
隅,yu2,n,2,96,2732,5,2,11,2,17,2,1,6.2,4.43,4.61,4.39
逾,yu2,v,18,96,2732,14,5,12,2,14,2,1,5.62,4.15,5,3.85
愚,yu2,a,4,96,2732,38,2,13,6,13,3,1,5,4.2,6.29,5.56
榆,yu2,n,1,96,2732,7,5,13,3,6,1,1,5.18,5.92,4.97,3.87
宇,yu3,n,2,41,1263,113,2,6,6,6,2,1,4.18,3.13,5.63,3.79
雨,yu3,n,185,41,1263,224,1,8,48,1,2,0,2.54,6.66,6.9,6.71
语,yu3,v,9,41,1263,429,3,9,68,2,4,-1,3.43,4.08,5.16,4.79
玉,yu4,n,12,128,1155,334,1,5,26,1,1,0,3.43,6.5,6.41,6.07
吁,yu4,v,2,128,1155,38,2,6,7,8,3,1,5.61,4.35,4.72,4.24
育,yu4,v,19,128,1155,343,3,8,17,4,3,-1,4.46,4.1,6.35,4.5
郁,yu4,a,1,128,1155,51,3,8,12,7,3,-1,5.54,3.2,5.63,4.18
狱,yu4,n,2,128,1155,65,3,9,11,5,2,-1,4.8,6.21,6.41,5.68
