"Subject","ISI","cgload","Tone_contrast","n_hit","n_fa","n_miss","n_cr","dis_rt","hit_rate","fa_rate","z_hit","z_fa","dprime","speaker","vowel","language","dprime2"
113,"Low","dsdv","T33-T241",16.5,3.5,0.5,13.5,1038.03125,0.97,0.21,1.88079360815125,-0.80642124701824,2.68721485516949,"Variable","Variable","Mandarin",4.43
113,"Low","dsdv","T33-T45",15.5,0.5,1.5,16.5,785.46875,0.91,0.03,1.34075503369022,-1.88079360815125,3.22154864184147,"Variable","Variable","Mandarin",4.97
113,"Low","dssv","T315-T45",5.5,1.5,11.5,15.5,995.78125,0.32,0.09,-0.467698799114508,-1.34075503369022,0.873056234575708,"Variable","Constant","Mandarin",1.73
113,"Low","dssv","T33-T241",15.5,3.5,1.5,13.5,858.28125,0.91,0.21,1.34075503369022,-0.80642124701824,2.14717628070846,"Variable","Constant","Mandarin",3.67
113,"Low","dssv","T33-T45",16.5,1.5,0.5,15.5,720.28125,0.97,0.09,1.88079360815125,-1.34075503369022,3.22154864184147,"Variable","Constant","Mandarin",5.06
113,"Low","ssdv","T315-T45",5.5,0.5,11.5,16.5,861.25,0.32,0.03,-0.467698799114508,-1.88079360815125,1.41309480903674,"Constant","Variable","Mandarin",2.41
113,"Low","ssdv","T33-T241",16.5,1.5,0.5,15.5,770.84375,0.97,0.09,1.88079360815125,-1.34075503369022,3.22154864184147,"Constant","Variable","Mandarin",5.06
113,"Low","ssdv","T33-T45",16.5,1.5,0.5,15.5,789.59375,0.97,0.09,1.88079360815125,-1.34075503369022,3.22154864184147,"Constant","Variable","Mandarin",5.06
113,"Low","sssv","T315-T45",3.5,3.5,13.5,13.5,893.25,0.21,0.21,-0.80642124701824,-0.80642124701824,0,"Constant","Constant","Mandarin",0
113,"Low","sssv","T33-T241",15.5,0.5,1.5,16.5,690.875,0.91,0.03,1.34075503369022,-1.88079360815125,3.22154864184147,"Constant","Constant","Mandarin",4.97
113,"Low","sssv","T33-T45",16.5,0.5,0.5,16.5,526.09375,0.97,0.03,1.88079360815125,-1.88079360815125,3.7615872163025,"Constant","Constant","Mandarin",5.73
114,"High","dsdv","T315-T45",12.5,4.5,4.5,12.5,717.09375,0.74,0.26,0.643345405392917,-0.643345405392917,1.28669081078583,"Variable","Variable","Mandarin",2.49
114,"High","dsdv","T33-T241",4.5,2.5,12.5,14.5,823.875,0.26,0.15,-0.643345405392917,-1.03643338949379,0.393087984100873,"Variable","Variable","Mandarin",1.06
114,"High","dsdv","T33-T45",16.5,2.5,0.5,14.5,547.03125,0.97,0.15,1.88079360815125,-1.03643338949379,2.91722699764504,"Variable","Variable","Mandarin",4.7
114,"High","dssv","T315-T45",12.5,2.5,4.5,14.5,598.375,0.74,0.15,0.643345405392917,-1.03643338949379,1.67977879488671,"Variable","Constant","Mandarin",2.94
114,"High","dssv","T33-T241",8.5,4.5,8.5,12.5,570.8125,0.5,0.26,0,-0.643345405392917,0.643345405392917,"Variable","Constant","Mandarin",1.55
114,"High","dssv","T33-T45",16.5,2.5,0.5,14.5,465.375,0.97,0.15,1.88079360815125,-1.03643338949379,2.91722699764504,"Variable","Constant","Mandarin",4.7
114,"High","ssdv","T315-T45",10.5,1.5,6.5,15.5,881.53125,0.62,0.09,0.305480788099397,-1.34075503369022,1.64623582178961,"Constant","Variable","Mandarin",2.83
