Item no.,Condition,Vowel pair,Tone_contrast,speakerA,syllable,tone,token,filenameA,speakerX,syllable,tone,token,filenameX,block_con,block_no
98,BA,a-a,315-45,F4,maa,45,1,Thai_F4_maa45-1,F4,maa,315,1,Thai_F4_maa315-1,block3a,2
99,AA,a-a,315-45,F4,maa,315,1,Thai_F4_maa315-1,F4,maa,315,2,Thai_F4_maa315-2,block3a,3
100,BB,a-a,315-45,F4,maa,45,1,Thai_F4_maa45-1,F4,maa,45,2,Thai_F4_maa45-2,block3a,4
101,AB,a-a,33-241,F4,maa,33,1,Thai_F4_maa33-1,F4,maa,241,1,Thai_F4_maa241-1,block3a,5
102,BA,a-a,33-241,F4,maa,241,1,Thai_F4_maa241-1,F4,maa,33,1,Thai_F4_maa33-1,block3a,6
103,AA,a-a,33-241,F4,maa,33,1,Thai_F4_maa33-1,F4,maa,33,2,Thai_F4_maa33-2,block3a,7
104,BB,a-a,33-241,F4,maa,241,1,Thai_F4_maa241-1,F4,maa,241,2,Thai_F4_maa241-2,block3a,8
105,AB,a-a,33-45,F4,maa,33,1,Thai_F4_maa33-1,F4,maa,45,1,Thai_F4_maa45-1,block3a,9
106,BA,a-a,33-45,F4,maa,45,1,Thai_F4_maa45-1,F4,maa,33,1,Thai_F4_maa33-1,block3a,10
107,AA,a-a,33-45,F4,maa,33,1,Thai_F4_maa33-1,F4,maa,33,2,Thai_F4_maa33-2,block3a,11
108,BB,a-a,33-45,F4,maa,45,1,Thai_F4_maa45-1,F4,maa,45,2,Thai_F4_maa45-2,block3a,12
109,AB,a-a,315-45,F4,maa,315,2,Thai_F4_maa315-2,F4,maa,45,2,Thai_F4_maa45-2,block3a,13
110,BA,a-a,315-45,F4,maa,45,2,Thai_F4_maa45-2,F4,maa,315,2,Thai_F4_maa315-2,block3a,14
111,AA,a-a,315-45,F4,maa,315,2,Thai_F4_maa315-2,F4,maa,315,1,Thai_F4_maa315-1,block3a,15
112,BB,a-a,315-45,F4,maa,45,2,Thai_F4_maa45-2,F4,maa,45,1,Thai_F4_maa45-1,block3a,16
113,AB,a-a,33-241,F4,maa,33,2,Thai_F4_maa33-2,F4,maa,241,2,Thai_F4_maa241-2,block3a,17
114,BA,a-a,33-241,F4,maa,241,2,Thai_F4_maa241-2,F4,maa,33,2,Thai_F4_maa33-2,block3a,18
115,AA,a-a,33-241,F4,maa,33,2,Thai_F4_maa33-2,F4,maa,33,1,Thai_F4_maa33-1,block3a,19
116,BB,a-a,33-241,F4,maa,241,2,Thai_F4_maa241-2,F4,maa,241,1,Thai_F4_maa241-1,block3a,20
117,AB,a-a,33-45,F4,maa,33,2,Thai_F4_maa33-2,F4,maa,45,2,Thai_F4_maa45-2,block3a,21
118,BA,a-a,33-45,F4,maa,45,2,Thai_F4_maa45-2,F4,maa,33,2,Thai_F4_maa33-2,block3a,22
119,AA,a-a,33-45,F4,maa,33,2,Thai_F4_maa33-2,F4,maa,33,1,Thai_F4_maa33-1,block3a,23
120,BB,a-a,33-45,F4,maa,45,2,Thai_F4_maa45-2,F4,maa,45,1,Thai_F4_maa45-1,block3a,24
121,AB,i-i,315-45,F4,mii,315,1,Thai_F4_mii315-1,F4,mii,45,1,Thai_F4_mii45-1,block3b,1
122,BA,i-i,315-45,F4,mii,45,1,Thai_F4_mii45-1,F4,mii,315,1,Thai_F4_mii315-1,block3b,2
123,AA,i-i,315-45,F4,mii,315,1,Thai_F4_mii315-1,F4,mii,315,2,Thai_F4_mii315-2,block3b,3
124,BB,i-i,315-45,F4,mii,45,1,Thai_F4_mii45-1,F4,mii,45,2,Thai_F4_mii45-2,block3b,4
125,AB,i-i,33-241,F4,mii,33,1,Thai_F4_mii33-1,F4,mii,241,1,Thai_F4_mii241-1,block3b,5
126,BA,i-i,33-241,F4,mii,241,1,Thai_F4_mii241-1,F4,mii,33,1,Thai_F4_mii33-1,block3b,6
127,AA,i-i,33-241,F4,mii,33,1,Thai_F4_mii33-1,F4,mii,33,2,Thai_F4_mii33-2,block3b,7
128,BB,i-i,33-241,F4,mii,241,1,Thai_F4_mii241-1,F4,mii,241,2,Thai_F4_mii241-2,block3b,8
