"id","F0","subject","language","Timepoint","tone","syllable","normF0"
"43",161.985793624503,"125","md",4,"M35","ma",-0.222511171653082
"43",166.055808165323,"125","md",5,"M35","ma",-0.203579606880695
"43",169.717381451144,"125","md",6,"M35","ma",-0.18654789578135
"43",181.236706461371,"125","md",7,"M35","ma",-0.132966060783445
"43",202.728313048853,"125","md",8,"M35","ma",-0.0329984223160889
"43",236.488175591081,"125","md",9,"M35","ma",0.124034683589304
"43",257.760308315349,"125","md",10,"M35","ma",0.222981445198458
"44",240.042448919927,"125","md",1,"M214","ma",0.140567291782461
"44",169.603751959722,"125","md",2,"M214","ma",-0.187076440349271
"44",101.240668638022,"125","md",3,"M214","ma",-0.505065510649776
"44",86.300254663602,"125","md",4,"M214","ma",-0.574560450298325
"44",238.425857263781,"125","md",5,"M214","ma",0.133047758537089
"44",274.253672562723,"125","md",6,"M214","ma",0.299699891885093
"44",266.950922212426,"125","md",7,"M214","ma",0.265731342169454
"44",256.136043480372,"125","md",8,"M214","ma",0.21542622036511
"44",180.624230463434,"125","md",9,"M214","ma",-0.135814976655905
"44",179.819126268584,"125","md",10,"M214","ma",-0.139559897481237
"45",208.382264907826,"125","md",1,"M35","ma",-0.00669921508609797
"45",174.337199178869,"125","md",2,"M35","ma",-0.165058936056058
"45",177.191350299403,"125","md",3,"M35","ma",-0.151782927760102
"45",175.655897517733,"125","md",4,"M35","ma",-0.158925045681203
"45",178.433025351167,"125","md",5,"M35","ma",-0.146007309163912
"45",178.298633035906,"125","md",6,"M35","ma",-0.146632431456662
"45",183.646017575272,"125","md",7,"M35","ma",-0.12175921398912
"45",199.103901961516,"125","md",8,"M35","ma",-0.049857274434063
"45",223.710703922542,"125","md",9,"M35","ma",0.0646006127538852
"45",253.918268784956,"125","md",10,"M35","ma",0.205110300145239
"46",260.094430235308,"125","md",1,"M55","ma",0.233838551449839
"46",210.579665705595,"125","md",2,"M55","ma",0.00352193648882429
"46",226.383740900364,"125","md",3,"M55","ma",0.077034173414929
"46",232.068795233393,"125","md",4,"M55","ma",0.103478052978708
"46",230.901783183805,"125","md",5,"M55","ma",0.0980497273584092
"46",234.538810254002,"125","md",6,"M55","ma",0.114967262386304
"46",233.098600302225,"125","md",7,"M55","ma",0.108268163964308
"46",231.028922407656,"125","md",8,"M55","ma",0.0986411120886867
"46",234.796495279048,"125","md",9,"M55","ma",0.116165877451091
"46",232.299511538253,"125","md",10,"M55","ma",0.104551223756284
"47",257.905865726667,"125","md",1,"M51","ma",0.223658501639616
"47",221.129827906338,"125","md",2,"M51","ma",0.0525957363633393
"47",249.855175715585,"125","md",3,"M51","ma",0.18621093041386
"47",256.621522975462,"125","md",4,"M51","ma",0.217684415370261
"47",251.568290984492,"125","md",5,"M51","ma",0.194179440685901
"47",240.305880086879,"125","md",6,"M51","ma",0.141792634874037
"47",220.90007437676,"125","md",7,"M51","ma",0.0515270439094764
"47",202.308880483392,"125","md",8,"M51","ma",-0.0349494017784569
"47",178.735761434941,"125","md",9,"M51","ma",-0.144599140293403
"47",185.076543094792,"125","md",10,"M51","ma",-0.115105162447108
"48",202.977963921275,"125","md",1,"M214","ma",-0.0318371778993096
"48",175.668373105121,"125","md",2,"M214","ma",-0.158867015817098
"48",155.753317049523,"125","md",3,"M214","ma",-0.251501371267417
"48",148.39460862312,"125","md",4,"M214","ma",-0.285730208491054
"48",86.3381066852238,"125","md",5,"M214","ma",-0.574384382622912
"48",84.2750200439518,"125","md",6,"M214","ma",-0.583980775458506
"48",84.0866684884226,"125","md",7,"M214","ma",-0.584856887727324
"48",83.766483938,"125","md",8,"M214","ma",-0.586346217678028
"48",90.1024367480129,"125","md",9,"M214","ma",-0.556874701098782
"48",188.635245589673,"125","md",10,"M214","ma",-0.0985519521055279
"49",237.327339720108,"125","md",1,"M35","mi",0.1279380332958
"49",191.372383548073,"125","md",2,"M35","mi",-0.0858202274321374
"49",192.829902804717,"125","md",3,"M35","mi",-0.0790406152372891
"49",190.885599171549,"125","md",4,"M35","mi",-0.0880844920586974
"49",194.406599304746,"125","md",5,"M35","mi",-0.0717066532532914
"49",200.094538501614,"125","md",6,"M35","mi",-0.0452493548218171
"49",212.885364817555,"125","md",7,"M35","mi",0.0142468348020671
"49",224.311688516042,"125","md",8,"M35","mi",0.0673960766631495
"49",241.41790593944,"125","md",9,"M35","mi",0.146965193656122
"49",260.239901702223,"125","md",10,"M35","mi",0.234515208122884
"50",281.955675801469,"125","md",1,"M55","mi",0.335525555830286
"50",217.524760517594,"125","md",2,"M55","mi",0.0358268609467195
"50",233.619182704808,"125","md",3,"M55","mi",0.110689639213357
"50",237.94336153546,"125","md",4,"M55","mi",0.13080344244399
"50",238.926016628984,"125","md",5,"M55","mi",0.135374236569019
"50",241.107424454238,"125","md",6,"M55","mi",0.145520997256136
"50",241.312108324473,"125","md",7,"M55","mi",0.14647307885397
"50",240.708677538561,"125","md",8,"M55","mi",0.143666236545529
"50",240.560391723309,"125","md",9,"M55","mi",0.14297648900578
"50",242.275252439634,"125","md",10,"M55","mi",0.150953118180229
"51",259.169283407187,"125","md",1,"M51","mi",0.229535255497238
"51",221.568808145099,"125","md",2,"M51","mi",0.0546376413100035
"51",240.09502661978,"125","md",3,"M51","mi",0.140811855559902
"51",256.097275324271,"125","md",4,"M51","mi",0.215245891314449
"51",259.635317624044,"125","md",5,"M51","mi",0.231703001306025
"51",248.629003288099,"125","md",6,"M51","mi",0.180507421863645
"51",226.971683799856,"125","md",7,"M51","mi",0.0797689742301487
"51",199.104924902953,"125","md",8,"M51","mi",-0.0498525162490752
"51",175.516129362813,"125","md",9,"M51","mi",-0.159575173549656
"51",246.80798821358,"125","md",10,"M51","mi",0.172037018505381
"52",247.343603078856,"125","md",1,"M214","mi",0.174528416856253
"52",166.501593777911,"125","md",2,"M214","mi",-0.201506046918026
"52",165.557751383953,"125","md",3,"M214","mi",-0.205896304799649
"52",147.743430797422,"125","md",4,"M214","mi",-0.288759144889659
"52",132.171831940439,"125","md",5,"M214","mi",-0.361190024291679
"52",84.9175259662854,"125","md",6,"M214","mi",-0.580992176188575
"52",217.715645993404,"125","md",7,"M214","mi",0.0367147596785738
"52",233.399489298237,"125","md",8,"M214","mi",0.109667741155045
"52",191.876223850223,"125","md",9,"M214","mi",-0.0834766276195523
"52",201.361067550462,"125","md",10,"M214","mi",-0.0393581285168772
"53",239.049453072915,"125","md",1,"M55","mi",0.135948397916631
"53",226.885249858217,"125","md",2,"M55","mi",0.0793669290413024
"53",243.646500769595,"125","md",3,"M55","mi",0.157331443445977
"53",249.626379085316,"125","md",4,"M55","mi",0.18514668895177
"53",252.346720999912,"125","md",5,"M55","mi",0.197800287272537
"53",254.10810315523,"125","md",6,"M55","mi",0.205993309687542
"53",256.737393447574,"125","md",7,"M55","mi",0.218223383800471
"53",254.111700616386,"125","md",8,"M55","mi",0.206010043182769
"53",261.79391632481,"125","md",9,"M55","mi",0.241743665955081
"53",266.824289910576,"125","md",10,"M55","mi",0.26514231537343
"54",251.873733331977,"125","md",1,"M35","mi",0.195600197670342
"54",185.690025044369,"125","md",2,"M35","mi",-0.112251567417258
"54",190.230406332131,"125","md",3,"M35","mi",-0.0911321041872135
"54",188.753765549733,"125","md",4,"M35","mi",-0.0980006596523456
"54",192.478475083411,"125","md",5,"M35","mi",-0.0806752719693471
"54",202.305317347627,"125","md",6,"M35","mi",-0.0349659756100372
"54",217.860085531736,"125","md",7,"M35","mi",0.0373866163631597
"54",240.5843210584,"125","md",8,"M35","mi",0.143087795673774
"54",272.719180261686,"125","md",9,"M35","mi",0.292562241614202
"54",303.267414147075,"125","md",10,"M35","mi",0.434656541937456
"55",313.551157638418,"125","md",1,"M51","mi",0.482491102245869
"55",225.610476774968,"125","md",2,"M51","mi",0.0734373558288301
"55",252.405733579297,"125","md",3,"M51","mi",0.198074782721586
"55",268.850047270245,"125","md",4,"M51","mi",0.274565072044953
"55",268.077125210319,"125","md",5,"M51","mi",0.270969845567324
"55",262.098535515751,"125","md",6,"M51","mi",0.243160594048672
"55",231.759741700468,"125","md",7,"M51","mi",0.1020404986609
"55",202.778000058534,"125","md",8,"M51","mi",-0.0327673045073698
"55",200.00292759715,"125","md",9,"M51","mi",-0.0456754805160437
"55",238.42654076331,"125","md",10,"M51","mi",0.133050937817036
"56",207.102574822351,"125","md",1,"M214","mi",-0.0126516596041141
"56",173.284499447249,"125","md",2,"M214","mi",-0.169955540958854
"56",159.777315748331,"125","md",3,"M214","mi",-0.232783847964626
"56",220.748846777252,"125","md",4,"M214","mi",0.0508236127382248
"56",263.338063747123,"125","md",5,"M214","mi",0.248926226766702
"56",242.377661425216,"125","md",6,"M214","mi",0.151429470862601
"56",99.2125494532251,"125","md",7,"M214","mi",-0.514499253288287
"56",181.345687408405,"125","md",8,"M214","mi",-0.132459138796551
"56",182.079513111589,"125","md",9,"M214","mi",-0.129045767986165
"56",209.487758194213,"125","md",10,"M214","mi",-0.00155704236244519
"57",263.777900713955,"125","md",1,"M51","mi",0.250972116761289
"57",224.15310074659,"125","md",2,"M51","mi",0.0666584098564669
"57",245.330795118432,"125","md",3,"M51","mi",0.165165893972131
"57",263.950264179057,"125","md",4,"M51","mi",0.251773860851202
"57",261.948432295367,"125","md",5,"M51","mi",0.242462392897115
"57",249.219967291067,"125","md",6,"M51","mi",0.183256275261619
"57",228.823937750432,"125","md",7,"M51","mi",0.088384684392499
"57",193.864259981796,"125","md",8,"M51","mi",-0.0742293302408203
"57",205.759565920537,"125","md",9,"M51","mi",-0.018898629918243
"57",173.42392521244,"125","md",10,"M51","mi",-0.169307005707155
"58",206.088779273378,"125","md",1,"M35","mi",-0.0173673027323729
"58",190.887392055261,"125","md",2,"M35","mi",-0.0880761525076234
"58",191.816902924032,"125","md",3,"M35","mi",-0.0837525573355938
"58",193.624364680679,"125","md",4,"M35","mi",-0.0753451968762208
"58",196.978549869797,"125","md",5,"M35","mi",-0.0597432933622402
"58",205.818427394738,"125","md",6,"M35","mi",-0.0186248373309571
"58",216.959801125491,"125","md",7,"M35","mi",0.0331989673070057
"58",237.841772945724,"125","md",8,"M35","mi",0.130330905811152
"58",253.532779428637,"125","md",9,"M35","mi",0.203317206620627
"58",278.654520739493,"125","md",10,"M35","mi",0.32017032054729
"59",282.022274896171,"125","md",1,"M55","mi",0.335835339754272
"59",231.737231281798,"125","md",2,"M55","mi",0.10193579204503
"59",246.936355776315,"125","md",3,"M55","mi",0.172634116821421
"59",252.050920784411,"125","md",4,"M55","mi",0.196424380409483
"59",249.777479152711,"125","md",5,"M55","mi",0.185849526910782
"59",250.442324796943,"125","md",6,"M55","mi",0.188942038805072
"59",251.605343081103,"125","md",7,"M55","mi",0.194351787531325
"59",253.86875220929,"125","md",8,"M55","mi",0.204879975105825
"59",254.482249344149,"125","md",9,"M55","mi",0.207733640769614
"59",257.183060895243,"125","md",10,"M55","mi",0.220296394122147
"60",217.924053644408,"125","md",1,"M214","mi",0.0376841623439619
"60",188.132990471424,"125","md",2,"M214","mi",-0.100888178477208
"60",176.261301645094,"125","md",3,"M214","mi",-0.156109024427313
"60",157.053157302945,"125","md",4,"M214","mi",-0.245455198777215
"60",180.048344100987,"125","md",5,"M214","mi",-0.138493696808586
"60",199.795700044534,"125","md",6,"M214","mi",-0.046639393985058
"60",158.993306621831,"125","md",7,"M214","mi",-0.236430645638595
"60",155.591381395478,"125","md",8,"M214","mi",-0.252254610670559
"60",193.585861172051,"125","md",9,"M214","mi",-0.0755242949261764
"60",219.225119476794,"125","md",10,"M214","mi",0.0437360355822298
"61",220.215833805912,"125","md",1,"M35","mi",0.0483443170280368
"61",187.85310870466,"125","md",2,"M35","mi",-0.102190041097838
"61",196.636520778696,"125","md",3,"M35","mi",-0.0613342326149827
"61",199.028268596124,"125","md",4,"M35","mi",-0.0502090810287351
"61",203.256715722047,"125","md",5,"M35","mi",-0.0305405712855476
"61",214.860551029855,"125","md",6,"M35","mi",0.0234343611218515
"61",235.984274392923,"125","md",7,"M35","mi",0.12169080052055
"61",255.335228048833,"125","md",8,"M35","mi",0.211701248608658
"61",282.443983588081,"125","md",9,"M35","mi",0.337796906558493
"61",302.138035259534,"125","md",10,"M35","mi",0.429403265973053
"62",283.112551998626,"125","md",1,"M55","mi",0.340906734801625
