focus_type,Odur,Vdur,Cdur,Rdur,Sylldur,Wdur,O1Hexc,Fallexc,Nucleusfallexc,H_N2exc,pd,Pd_rime,Falldur,Risedur,Hf0_Ef0,L1_Hexc,O1f0_Ef0,L1f0_Ef0,L2f0_Ef0,Risesp,Fallsp
bro,-0.268317222,0.122203225,-0.149662255,0.025090985,-0.071296171,711,-0.083851623,0.013492872,0.010944827,-0.01357817,0.021995746,0.797169811,0.269439227,0.171696061,-0.005926573,0.023298519,0.07792505,-0.029225091,-0.019419445,0.135696291,0.050077609
bro,0.337669009,0.050067219,0.222057505,0.126569513,0.207850697,607,0.16286268,0.022042075,0.021892895,0.054355613,-0.007772468,1.102040816,-0.403368919,0.180686572,-0.533132362,0.087983159,-0.695995042,-0.621115521,-0.555174437,0.486938005,-0.054644952
bro,-0.500152136,-0.067538738,0.201229376,0.025782822,-0.157911681,645,-0.124500746,0.056826682,0.017162003,0.075910905,0.003891549,0.807692308,0.027857227,-0.330869343,-0.008809631,-0.05087057,0.115691115,0.042060938,-0.065636313,0.153748211,2.039926027
bro,-0.157465519,-0.193519816,0.094635648,-0.112152151,-0.12576737,503,0.041035759,0.009907257,-0.050846114,0.059802861,-0.26191401,0.565789474,0.269970851,-0.051491381,0.597659695,0.022210787,0.556623936,0.575448908,0.587752438,-0.431349609,0.036697505
bro,-0.012445149,-0.263536482,0.171692888,-0.09580052,-0.062852892,575,-0.008793447,-0.051040879,-0.020086584,0.033568856,0.092473006,0.877419355,-0.238767712,0.460579165,-0.033961042,-0.028753522,-0.025167595,-0.00520752,0.017079837,-0.062429054,0.213767929
bro,-0.551971038,-0.164786868,0.026293807,-0.086318159,-0.278024627,484,-0.041918406,-0.091711822,-0.004318335,-0.04538066,-0.017143165,1.189393939,-0.114222102,-0.110082417,-0.05592858,-0.015120294,-0.014010174,-0.040808286,0.035783242,0.137354308,0.80292536
bro,0.099019238,-0.030358188,0.024398106,-0.006948074,0.033711449,662,0.025026442,0.072433315,0.011657324,0.052110594,-0.022928584,0.80952381,0.429930553,0.068016416,-0.018347211,0.002423616,-0.043373653,-0.020770827,-0.090780526,0.035632809,0.168476779
bro,0.022244,0.162372222,-0.081371499,0.04238597,0.03502791,660,0.041107969,0.050729495,0.002449325,0.023919816,0.035350298,0.872928177,-0.528394166,0.267204092,-0.022037206,0.035798983,-0.063145175,-0.057836189,-0.072766701,0.133976179,-0.096006918
bro,-0.459909592,-0.111909341,0.674219742,0.205811214,-0.068682494,586,-0.134599877,-0.038627005,0.003356078,0.058706904,-0.084395104,0.671171171,-0.107623971,-0.3012213,-0.125691151,-0.024021465,0.008908726,-0.101669686,-0.087064146,0.0797469,0.35890708
bro,-0.146854121,-0.034899989,-0.124058968,-0.070512422,-0.096769103,638,0.099631415,0.059234452,-0.051963713,0.049508192,-0.167212737,0.538922156,0.077110734,-0.004302915,-0.000477392,0.099661597,-0.100108807,-0.100138989,-0.059711844,-23.16141368,0.768173887
bro,0.010722912,0.086611385,0.021368692,0.065795716,0.047560958,622,-0.037165102,-0.0005192,-0.003421173,-0.015917285,0.019720002,0.716417913,0.107839997,0.081816244,-0.114418542,-0.013092417,-0.07725344,-0.101326126,-0.113899342,-0.160022214,-0.00481454
bro,0.326116857,-0.01989758,-0.356111751,-0.157356711,0.060922719,569,-0.131963518,-0.030389017,-0.009808666,0.017220526,-0.0269195,0.770992366,-0.293462844,-0.232296704,-0.115118147,-0.016510164,0.016845371,-0.098607982,-0.08472913,0.071073606,0.103553201
bro,0.028733102,0.095468562,-0.27963576,-0.053644307,-0.019929598,704,-0.083343501,0.080590021,-0.01254263,-0.019982126,0.002487259,0.948863636,0.410181804,-0.173908865,0.226704425,0.037171922,0.310047925,0.189532502,0.146114404,-0.213743689,0.196473905
bro,-0.393865088,-0.26099324,0.045935138,-0.155144836,-0.235154748,435,-0.049195386,0.006096824,-0.006137067,-0.013580658,-0.149801867,0.804878049,0.007424956,-0.032388225,-0.039922321,0.026382375,0.009273065,-0.066304696,-0.046019145,-0.814566855,0.821125907
bro,-0.307155926,0.031870866,-0.046868452,0.000603855,-0.120659421,423,-0.058953927,0.476571711,-0.007718848,-0.01969146,-0.032288002,0.847826087,0.033067981,0.181344815,-0.609476909,0.006900924,-0.550522982,-0.616377834,-1.08604862,0.038054159,14.41187804
