"subject","stimuli","response","isi","counter","response_rt","rating","rating_rt","percentage","sum"
110,"T45","M214","High",4,792.25,6.25,1482.75,0.142857142857143,28
110,"T45","M35","High",23,668.913043478261,5.65217391304348,979.478260869565,0.821428571428571,28
110,"T45","M51","High",1,1115,2,876,0.0357142857142857,28
112,"T21","M214","Low",13,643.461538461538,2.84615384615385,253.538461538462,0.464285714285714,28
112,"T21","M51","Low",15,704.466666666667,6.06666666666667,93.1333333333333,0.535714285714286,28
112,"T241","M51","Low",28,762.75,6.96296296296296,81.1071428571429,1,28
112,"T315","M214","Low",19,666,6.05263157894737,192.894736842105,0.678571428571429,28
112,"T315","M35","Low",9,747.111111111111,6.55555555555556,313.777777777778,0.321428571428571,28
112,"T33","M214","Low",1,416,2,978,0.0357142857142857,28
112,"T33","M51","Low",27,728.925925925926,6.51851851851852,161.481481481481,0.964285714285714,28
112,"T45","M214","Low",1,1457,1,13,0.037037037037037,27
112,"T45","M35","Low",26,693.076923076923,6.92307692307692,406.307692307692,0.962962962962963,27
113,"T21","M214","Low",27,392.925925925926,2.74074074074074,677.518518518518,0.964285714285714,28
113,"T21","M51","Low",1,477,4,1684,0.0357142857142857,28
113,"T241","M51","Low",27,440.444444444444,5.85185185185185,543.888888888889,0.964285714285714,28
113,"T241","M55","Low",1,1185,1,960,0.0357142857142857,28
113,"T315","M214","Low",3,585,2.66666666666667,632,0.107142857142857,28
113,"T315","M35","Low",25,406,5.96,737.64,0.892857142857143,28
113,"T33","M55","Low",28,483.428571428571,6.10714285714286,663.214285714286,1,28
113,"T45","M35","Low",28,407.571428571429,6.85714285714286,488.928571428571,1,28
114,"T21","M51","High",28,396.464285714286,4.25,755.607142857143,1,28
114,"T241","M51","High",28,458.178571428571,5.78571428571429,762,1,28
114,"T315","M214","High",11,388.454545454545,3.90909090909091,879.090909090909,0.392857142857143,28
114,"T315","M35","High",17,421.764705882353,4.47058823529412,1010.17647058824,0.607142857142857,28
114,"T33","M51","High",7,324.571428571429,4,1101.71428571429,0.25,28
114,"T33","M55","High",21,352.285714285714,3.47619047619048,834.857142857143,0.75,28
114,"T45","M35","High",28,406.892857142857,4.35714285714286,1039.46428571429,1,28
115,"T21","M214","Low",6,1977.5,2.5,1402.66666666667,0.230769230769231,26
115,"T21","M51","Low",16,1636.3125,3.25,1674.5625,0.615384615384615,26
115,"T21","M55","Low",4,1616.75,2.75,2428.5,0.153846153846154,26
115,"T241","M51","Low",25,1706.16,5.43478260869565,1608.72,0.961538461538462,26
115,"T241","M55","Low",1,813,5,432,0.0384615384615385,26
